year,region,yearly_cases,pop,crude_rate
2001,서울시광진구,0,388109.0,0.0
2001,서울시구로구,0,415330.0,0.0
2001,서울시금천구,0,260476.0,0.0
2001,서울시노원구,0,646905.0,0.0
2001,서울시도봉구,0,371259.0,0.0
2001,서울시동대문구,0,381799.0,0.0
2001,서울시동작구,0,406116.0,0.0
2001,서울시마포구,0,379141.0,0.0
2001,서울시서대문구,0,366228.0,0.0
2001,서울시서초구,1,393849.0,0.25390441514387496
2001,서울시성동구,0,341375.0,0.0
2001,서울시성북구,0,450602.0,0.0
2001,서울시송파구,0,655483.0,0.0
2001,서울시양천구,0,484345.0,0.0
2001,서울시영등포구,0,406860.0,0.0
2001,서울시용산구,0,241033.0,0.0
2001,서울시은평구,0,467719.0,0.0
2001,서울시종로구,0,184225.0,0.0
2001,서울시중구,0,143016.0,0.0
2001,서울시중랑구,1,448928.0,0.22275286905695346
2001,세종시세종시,0,81328.0,0.0
2001,울산시남구,1,344011.0,0.2906883791506667
2001,울산시동구,0,185951.0,0.0
2001,울산시북구,0,122480.0,0.0
2001,울산시울주군,1,170265.0,0.587319766246733
2001,울산시중구,0,232911.0,0.0
2001,인천시강화군,0,66860.0,0.0
2001,인천시계양구,0,339696.0,0.0
2001,인천시남구,0,425371.0,0.0
2001,인천시남동구,0,407615.0,0.0
2001,인천시동구,0,75788.0,0.0
2001,인천시부평구,0,552093.0,0.0
2001,인천시서구,0,348450.0,0.0
2001,인천시연수구,0,261038.0,0.0
2001,인천시옹진군,0,14050.0,0.0
2001,인천시중구,0,73637.0,0.0
2001,전라남도강진군,0,50846.0,0.0
2001,전라남도고흥군,0,95864.0,0.0
2001,전라남도곡성군,0,38767.0,0.0
2001,전라남도광양시,0,138238.0,0.0
2001,전라남도구례군,0,32948.0,0.0
2001,전라남도나주시,0,105832.0,0.0
2001,전라남도담양군,0,53268.0,0.0
2001,전라남도목포시,0,245344.0,0.0
2001,전라남도무안군,0,68904.0,0.0
2001,전라남도보성군,0,59417.0,0.0
2001,전라남도순천시,0,271734.0,0.0
2001,전라남도신안군,0,51342.0,0.0
2001,전라남도여수시,0,320146.0,0.0
2001,전라남도영광군,0,70120.0,0.0
2001,전라남도영암군,0,64391.0,0.0
2001,전라남도완도군,0,65397.0,0.0
2001,전라남도장성군,0,54687.0,0.0
2001,전라남도장흥군,0,51738.0,0.0
2001,전라남도진도군,0,41139.0,0.0
2001,전라남도함평군,0,43522.0,0.0
2001,전라남도해남군,0,96445.0,0.0
2001,전라남도화순군,0,79219.0,0.0
2001,전라북도고창군,0,74286.0,0.0
2001,전라북도군산시,0,276717.0,0.0
2001,전라북도김제시,0,115244.0,0.0
2001,전라북도남원시,0,103977.0,0.0
2001,전라북도무주군,0,30333.0,0.0
2001,전라북도부안군,0,75914.0,0.0
2001,전라북도순창군,0,33892.0,0.0
2001,전라북도완주군,0,86719.0,0.0
2001,전라북도익산시,0,334757.0,0.0
2001,전라북도임실군,0,37439.0,0.0
2001,전라북도장수군,0,30445.0,0.0
2001,전라북도전주시,0,622283.0,0.0
2001,전라북도정읍시,0,151813.0,0.0
2001,전라북도진안군,0,32635.0,0.0
2001,제주도서귀포시,0,162374.0,0.0
2001,제주도제주시,0,384515.0,0.0
2001,충청남도계룡시,0,28775.0,0.0
2001,충청남도공주시,0,133978.0,0.0
2001,충청남도금산군,0,62985.0,0.0
2001,충청남도논산시,0,140287.0,0.0
2001,충청남도당진시,0,120445.0,0.0
2001,충청남도보령시,0,116306.0,0.0
2001,충청남도부여군,0,90373.0,0.0
2001,충청남도서산시,0,150116.0,0.0
2001,충청남도서천군,0,72787.0,0.0
2001,충청남도아산시,0,186469.0,0.0
2001,충청남도예산군,0,100289.0,0.0
2001,충청남도천안시,0,432534.0,0.0
2001,충청남도청양군,0,40029.0,0.0
2001,충청남도태안군,0,67878.0,0.0
2001,충청남도홍성군,0,93558.0,0.0
2001,충청북도괴산군,0,43126.0,0.0
2001,충청북도단양군,0,38721.0,0.0
2001,충청북도보은군,0,42082.0,0.0
2001,충청북도영동군,0,57184.0,0.0
2001,충청북도옥천군,0,59515.0,0.0
2001,충청북도음성군,0,87289.0,0.0
2001,충청북도제천시,0,144968.0,0.0
2001,충청북도증평군,0,31392.0,0.0
2001,충청북도진천군,0,60309.0,0.0
2001,충청북도청주시,0,716685.0,0.0
2001,충청북도충주시,0,215249.0,0.0
2002,강원도강릉시,0,229869.0,0.0
2002,강원도고성군,0,33721.0,0.0
2002,강원도동해시,0,102857.0,0.0
2002,강원도삼척시,0,77434.0,0.0
2002,강원도속초시,0,90029.0,0.0
2002,강원도양구군,0,22527.0,0.0
2002,강원도양양군,0,30076.0,0.0
2002,강원도영월군,0,45273.0,0.0
2002,강원도원주시,0,276889.0,0.0
2002,강원도인제군,0,32447.0,0.0
2002,강원도정선군,0,51226.0,0.0
